Ticket_ID,Created_Date,Quarter,Ticket_Type,Priority,Resolution_Hours,SLA_Target_Hours,SLA_Met,Employee_Satisfaction,Channel
TKT-0001,2026-01-17,Q1,Grievance routing,Low,4.6,40,Yes,5,HRIS
TKT-0002,2026-01-09,Q1,Grievance routing,Medium,91.3,40,No,1,Walk-in
TKT-0003,2026-01-01,Q1,Leave correction,Low,8.5,40,Yes,5,Manager referral
TKT-0004,2026-01-30,Q1,Employee letter,Low,75.8,40,No,1,Walk-in
TKT-0005,2026-01-02,Q1,Grievance routing,Medium,57.9,40,No,2,Manager referral
TKT-0006,2026-01-26,Q1,HRIS access,High,72.8,40,No,2,Manager referral
TKT-0007,2026-01-06,Q1,HRIS access,Low,61.7,40,No,1,Email
TKT-0008,2026-01-16,Q1,HRIS access,Medium,31.0,40,Yes,5,Email
TKT-0009,2026-01-21,Q1,Grievance routing,Medium,4.6,40,Yes,5,HRIS
TKT-0010,2026-01-16,Q1,Leave correction,High,36.6,40,Yes,4,Walk-in
TKT-0011,2026-01-24,Q1,Benefit query,Medium,21.0,40,Yes,4,Email
TKT-0012,2026-01-27,Q1,Grievance routing,Medium,20.8,40,Yes,4,Manager referral
TKT-0013,2026-01-17,Q1,HRIS access,High,57.6,40,No,1,HRIS
TKT-0014,2026-01-23,Q1,Leave correction,Low,24.7,40,Yes,5,Email
TKT-0015,2026-01-20,Q1,Leave correction,Medium,10.1,40,Yes,5,Email
TKT-0016,2026-01-08,Q1,Leave correction,Medium,32.8,40,Yes,4,Walk-in
TKT-0017,2026-01-19,Q1,HRIS access,Medium,32.7,40,Yes,5,Walk-in
TKT-0018,2026-01-25,Q1,Grievance routing,Low,30.3,40,Yes,4,Manager referral
TKT-0019,2026-01-12,Q1,Grievance routing,Low,7.8,40,Yes,5,Manager referral
TKT-0020,2026-01-31,Q1,Leave correction,Medium,39.3,40,Yes,4,Email
TKT-0021,2026-01-07,Q1,Benefit query,Low,13.1,40,Yes,5,Email
TKT-0022,2026-01-12,Q1,Grievance routing,Low,95.2,40,No,1,HRIS
TKT-0023,2026-01-27,Q1,HRIS access,Medium,109.8,40,No,2,Manager referral
TKT-0024,2026-01-24,Q1,Leave correction,Low,39.7,40,Yes,4,Manager referral
TKT-0025,2026-01-08,Q1,Payroll query,Medium,60.3,40,No,3,Email
TKT-0026,2026-01-17,Q1,HRIS access,Low,23.8,40,Yes,5,HRIS
TKT-0027,2026-01-22,Q1,Grievance routing,Medium,77.5,40,No,3,Email
TKT-0028,2026-01-23,Q1,Attendance correction,Medium,18.6,40,Yes,4,Manager referral
TKT-0029,2026-01-05,Q1,Attendance correction,Low,14.3,40,Yes,4,Manager referral
TKT-0030,2026-01-01,Q1,Attendance correction,Medium,16.2,40,Yes,5,Walk-in
TKT-0031,2026-01-26,Q1,Employee letter,Low,79.2,40,No,1,HRIS
TKT-0032,2026-01-27,Q1,Leave correction,Medium,36.0,40,Yes,5,Manager referral
