Performance_Record_ID,Employee_ID,Quarter,Department,Goal_Achievement_Score,Quality_Score,Behaviour_Score,Overall_Score,Performance_Rating,Manager_Checkin_Completed,Development_Plan_Created
PF-0001,SG-12720082301,Q1,Human Resources and People,51,68,67,60.1,Needs Improvement,Yes,No
PF-0006,SG-12705041803,Q1,Human Resources and People,53,64,54,57.0,Needs Improvement,No,Yes
PF-0007,SG-12716102104,Q1,Human Resources and People,60,54,54,56.7,Needs Improvement,Yes,No
PF-0008,SG-12716102104,Q2,Human Resources and People,75,65,68,70.1,Meets,Yes,Yes
PF-0009,SG-12716102104,Q3,Human Resources and People,78,70,87,77.0,Meets,No,Yes
PF-0010,SG-12716102104,Q4,Human Resources and People,100,96,91,96.8,Exceptional,No,Yes
PF-0011,SG-21024102301,Q1,Smartwatch Production,64,64,64,64.0,Needs Improvement,Yes,No
PF-0012,SG-21023011902,Q1,Smartwatch Production,56,53,63,56.4,Needs Improvement,Yes,Yes
PF-0013,SG-21015092303,Q1,Smartwatch Production,62,60,65,61.9,Needs Improvement,Yes,No
PF-0014,SG-21015092303,Q2,Smartwatch Production,69,63,83,69.7,Meets,Yes,No
PF-0015,SG-21015092303,Q3,Smartwatch Production,79,80,78,79.2,Meets,Yes,Yes
PF-0016,SG-21015092303,Q4,Smartwatch Production,100,90,88,94.1,Exceptional,Yes,No
PF-0017,SG-21022112304,Q1,Smartwatch Production,66,70,65,67.2,Meets,Yes,No
PF-0018,SG-21009112105,Q1,Smartwatch Production,64,77,63,68.3,Meets,No,No
PF-0019,SG-21007012306,Q1,Smartwatch Production,54,73,61,62.0,Needs Improvement,Yes,No
PF-0020,SG-21012042207,Q1,Smartwatch Production,39,55,55,47.8,Needs Improvement,Yes,No
PF-0021,SG-21024051808,Q1,Smartwatch Production,74,81,66,74.9,Meets,No,No
PF-0022,SG-21024051808,Q2,Smartwatch Production,81,68,58,71.8,Meets,Yes,Yes
PF-0023,SG-21024051808,Q3,Smartwatch Production,73,77,79,75.6,Meets,Yes,Yes
PF-0024,SG-21024051808,Q4,Smartwatch Production,77,88,89,83.2,Exceeds,Yes,No
PF-0025,SG-21008062009,Q1,Smartwatch Production,51,82,57,63.0,Needs Improvement,Yes,Yes
PF-0026,SG-21003032210,Q1,Smartwatch Production,54,52,66,55.7,Needs Improvement,Yes,Yes
PF-0027,SG-21003032210,Q2,Smartwatch Production,60,57,69,60.8,Needs Improvement,Yes,Yes
PF-0028,SG-21003032210,Q3,Smartwatch Production,72,78,83,76.3,Meets,Yes,Yes
PF-0029,SG-21003032210,Q4,Smartwatch Production,87,88,83,86.5,Exceeds,Yes,No
PF-0030,SG-21027092011,Q1,Smartwatch Production,48,46,64,50.5,Needs Improvement,No,No
PF-0031,SG-21014031912,Q1,Smartwatch Production,55,55,56,55.2,Needs Improvement,No,Yes
PF-0032,SG-21004102013,Q1,Smartwatch Production,69,65,45,62.8,Needs Improvement,Yes,Yes
PF-0033,SG-21007081814,Q1,Smartwatch Production,58,51,45,53.0,Needs Improvement,No,Yes
PF-0034,SG-21027042115,Q1,Smartwatch Production,81,59,62,69.5,Meets,Yes,Yes
PF-0035,SG-21026071916,Q1,Smartwatch Production,52,77,54,61.2,Needs Improvement,Yes,Yes
PF-0036,SG-21020121817,Q1,Smartwatch Production,63,58,64,61.5,Needs Improvement,Yes,Yes
PF-0037,SG-21014112418,Q1,Smartwatch Production,57,46,65,54.8,Needs Improvement,No,Yes
PF-0038,SG-21017092019,Q1,Smartwatch Production,47,56,55,51.8,Needs Improvement,No,Yes
PF-0039,SG-21009042120,Q1,Smartwatch Production,76,70,62,71.1,Meets,Yes,No
PF-0040,SG-21009042120,Q2,Smartwatch Production,80,73,74,76.3,Meets,No,No
PF-0041,SG-21009042120,Q3,Smartwatch Production,86,89,88,87.4,Exceeds,Yes,No
PF-0042,SG-21009042120,Q4,Smartwatch Production,93,94,86,92.0,Exceptional,Yes,No
PF-0043,SG-21017062021,Q1,Smartwatch Production,54,68,64,60.9,Needs Improvement,Yes,Yes
PF-0044,SG-21017062021,Q2,Smartwatch Production,69,65,66,67.0,Meets,Yes,No
PF-0045,SG-21017062021,Q3,Smartwatch Production,83,80,67,78.8,Meets,Yes,Yes
PF-0046,SG-21017062021,Q4,Smartwatch Production,100,71,98,89.4,Exceeds,Yes,No
PF-0047,SG-21022041822,Q1,Smartwatch Production,63,51,55,57.2,Needs Improvement,Yes,No
PF-0048,SG-21019031923,Q1,Smartwatch Production,58,49,65,56.2,Needs Improvement,Yes,No
PF-0049,SG-21015012424,Q1,Smartwatch Production,52,52,58,53.2,Needs Improvement,Yes,No
PF-0050,SG-21028021825,Q1,Smartwatch Production,50,65,53,55.9,Needs Improvement,No,No
PF-0051,SG-21002032026,Q1,Smartwatch Production,47,47,59,49.4,Needs Improvement,Yes,Yes
PF-0052,SG-21002032026,Q2,Smartwatch Production,76,66,74,72.1,Meets,No,No
PF-0053,SG-21002032026,Q3,Smartwatch Production,65,59,81,66.1,Meets,Yes,Yes
PF-0054,SG-21002032026,Q4,Smartwatch Production,90,94,94,92.2,Exceptional,Yes,No
PF-0055,SG-21022031927,Q1,Smartwatch Production,56,71,51,60.2,Needs Improvement,Yes,Yes
PF-0056,SG-21015012328,Q1,Smartwatch Production,49,68,71,60.0,Needs Improvement,No,No
PF-0057,SG-21015012328,Q2,Smartwatch Production,77,67,76,73.3,Meets,No,No
PF-0058,SG-21015012328,Q3,Smartwatch Production,90,88,82,87.7,Exceeds,Yes,No
PF-0059,SG-21015012328,Q4,Smartwatch Production,84,88,90,86.6,Exceeds,Yes,Yes
PF-0060,SG-21016092329,Q1,Smartwatch Production,56,58,48,55.1,Needs Improvement,Yes,Yes
PF-0061,SG-21016092329,Q2,Smartwatch Production,78,81,70,77.5,Meets,No,No
