Month,Quarter,Active_Headcount,HRIS_Registered_Users,Monthly_Active_Users,Self_Service_Transactions,Paper_Transactions,HRIS_Adoption_Rate,Data_Completeness_Rate,Average_HR_Service_Cost_BDT
2026-01-01,Q1,100,12,8,41,162,0.12,0.71,620
2026-02-01,Q1,63,9,6,81,149,0.15,0.73,610
2026-03-01,Q1,52,9,6,100,142,0.18,0.76,590
2026-04-01,Q2,56,20,16,114,124,0.35,0.8,560
2026-05-01,Q2,62,32,27,130,116,0.52,0.84,520
2026-06-01,Q2,70,47,41,168,100,0.67,0.88,480
2026-07-01,Q3,74,56,51,175,83,0.76,0.91,440
2026-08-01,Q3,90,75,68,211,78,0.83,0.93,410
2026-09-01,Q3,99,87,81,222,61,0.88,0.95,380
2026-10-01,Q4,107,98,94,242,46,0.92,0.97,350
2026-11-01,Q4,112,106,103,277,33,0.95,0.98,330
2026-12-01,Q4,114,111,107,298,29,0.97,0.985,315
